"Dist","LogLikelihood","TestStat_P","ConvergenceIter","AIC","BIC","SignFeatures"
"extreme",-1571.19053683125,8.73746367079378e-64,7,3182.3810736625,3280.53617924214,"(Intercept), age, maritalUnmarried, address, edDid not complete high school, edHigh school degree, internetYes, custcatE-service, custcatPlus service, custcatTotal service, Log(scale)"
"logistic",-1554.94786360145,3.83962440146429e-65,5,3149.89572720289,3248.05083278253,"age, maritalUnmarried, address, edDid not complete high school, edHigh school degree, internetYes, custcatE-service, custcatPlus service, custcatTotal service, Log(scale)"
"gaussian",-1547.61068496513,5.2751639775441e-60,5,3135.22136993026,3233.3764755099,"(Intercept), age, maritalUnmarried, address, income, edDid not complete high school, edHigh school degree, voiceYes, internetYes, custcatE-service, custcatPlus service, custcatTotal service, Log(scale)"
"weibull",-1462.17162396243,1.09987788262379e-50,7,2964.34324792486,3062.4983535045,"(Intercept), age, maritalUnmarried, address, edDid not complete high school, edHigh school degree, voiceYes, internetYes, custcatE-service, custcatPlus service, custcatTotal service, Log(scale)"
"exponential",-1467.59750691956,1.09749808816386e-48,6,2973.19501383912,3066.44236413978,"(Intercept), age, maritalUnmarried, address, edDid not complete high school, edHigh school degree, voiceYes, internetYes, custcatE-service, custcatPlus service, custcatTotal service"
"rayleigh",-1527.43838716988,6.79658833199187e-79,6,3092.87677433977,3186.12412464043,"(Intercept), age, maritalUnmarried, address, edDid not complete high school, edHigh school degree, edPost-undergraduate degree, edSome college, voiceYes, internetYes, custcatE-service, custcatPlus service, custcatTotal service"
"loggaussian",-1457.0120049109,3.38554948168857e-51,5,2954.0240098218,3052.17911540145,"(Intercept), age, maritalUnmarried, address, voiceYes, internetYes, custcatE-service, custcatPlus service, custcatTotal service, Log(scale)"
"lognormal",-1457.0120049109,3.38554948168857e-51,5,2954.0240098218,3052.17911540145,"(Intercept), age, maritalUnmarried, address, voiceYes, internetYes, custcatE-service, custcatPlus service, custcatTotal service, Log(scale)"
"loglogistic",-1458.10307843624,7.46202922027035e-52,5,2956.20615687247,3054.36126245212,"(Intercept), age, maritalUnmarried, address, edDid not complete high school, edHigh school degree, voiceYes, internetYes, custcatE-service, custcatPlus service, custcatTotal service, Log(scale)"
"t",-1562.95683533653,1.45527848679729e-67,5,3165.91367067306,3264.0687762527,"age, maritalUnmarried, address, edDid not complete high school, edHigh school degree, internetYes, custcatE-service, custcatPlus service, custcatTotal service, Log(scale)"
